# Authors of papers coded as being about China (CHN in country_iso3_list)
# Source: data/country_classified.csv  |  Total papers: 217
# Format per line: AUTHORS  |  Title  (JOURNAL YEAR, doi:DOI)  [setting; iso3_list]
#----------------------------------------------------------------------------------------------------
Patrick François; Francesco Trebbi; Kairong Xiao  |  Factions in Nondemocracies: Theory and Evidence From the Chinese Communist Party  (ECMA 2023, doi:10.3982/ecta19274)  [single_country; CHN]
Shiqi Guo; Nan Gao; Pinghan Liang  |  Winter is Coming: Early-life Experiences and Politicians’ Decisions  (EJ 2023, doi:10.1093/ej/uead061)  [single_country; CHN]
Xiaoyu Zhou; Theodore Alysandratos; Michael Naef  |  Rice Farming and the Origins of Cooperative Behaviour  (EJ 2023, doi:10.1093/ej/uead030)  [single_country; CHN]
Ying Bai  |  Shaking Legitimacy: The Impact of Earthquakes on Conflict in Historical China  (EJ 2023, doi:10.1093/ej/uead004)  [single_country; CHN]
Anthony Howell  |  Rural road stimulus and the role of matching mandates on economic recovery in China  (JDE 2023, doi:10.1016/j.jdeveco.2023.103211)  [single_country; CHN]
Chao Ma; Shuoxun Zhang  |  Can housing booms elevate financing costs of financial institutions?  (JDE 2023, doi:10.1016/j.jdeveco.2023.103230)  [single_country; CHN]
Chuanmin Zhao; Xi Qu  |  Place-based policies, rural employment, and intra-household resources allocation: Evidence from China’s economic zones  (JDE 2023, doi:10.1016/j.jdeveco.2023.103210)  [single_country; CHN]
Chuantao Cui; Leona Shao‐Zhi Li  |  Trade policy uncertainty and new firm entry: Evidence from China  (JDE 2023, doi:10.1016/j.jdeveco.2023.103093)  [single_country; CHN]
Daixin He; Fangwen Lu; Jianan Yang  |  Impact of self- or social-regarding health messages: Experimental evidence based on antibiotics purchases  (JDE 2023, doi:10.1016/j.jdeveco.2023.103056)  [single_country; CHN]
Di Wang; Peng Zhang; Shuai Chen; Ning Zhang  |  Adaptation to temperature extremes in Chinese agriculture, 1981 to 2010  (JDE 2023, doi:10.1016/j.jdeveco.2023.103196)  [single_country; CHN]
Gan Jin  |  Circle of fortune: The long-term impact of Western customs institution in China  (JDE 2023, doi:10.1016/j.jdeveco.2023.103075)  [single_country; CHN]
Hanming Fang; Ziteng Lei; Liguo Lin; Peng Zhang; Maigeng Zhou  |  Family companionship and elderly suicide: Evidence from the Chinese Lunar New Year  (JDE 2023, doi:10.1016/j.jdeveco.2023.103055)  [single_country; CHN]
Hao Geng; Ce Shi  |  Health policy, price regulation, and innovation: Evidence from China’s vaccine industry  (JDE 2023, doi:10.1016/j.jdeveco.2023.103229)  [single_country; CHN]
Jing Cao; Rong Ma  |  Mitigating agricultural fires with carrot or stick? Evidence from China  (JDE 2023, doi:10.1016/j.jdeveco.2023.103173)  [single_country; CHN]
Junsen Zhang; Kang Zhou  |  Quota removal, destination-specific export shocks, and skill acquisition in China  (JDE 2023, doi:10.1016/j.jdeveco.2023.103149)  [single_country; CHN]
Meilin Ma; Michael S. Delgado; H. Holly Wang  |  Risk, arbitrage, and spatial price relationships: Insights from China's hog market under the African Swine Fever  (JDE 2023, doi:10.1016/j.jdeveco.2023.103200)  [single_country; CHN]
Mingqin Wu; Linhui Yu; Junsen Zhang  |  Road expansion, allocative efficiency, and pro-competitive effect of transport infrastructure: Evidence from China  (JDE 2023, doi:10.1016/j.jdeveco.2023.103050)  [single_country; CHN]
Rufei Guo; Junsen Zhang; Minghai Zhou  |  The demography of the great migration in China  (JDE 2023, doi:10.1016/j.jdeveco.2023.103235)  [single_country; CHN]
